society,price,facing,agePossession,nearbyLocations,rating,property_type,area,area_sqft,rate_per_sqft,floor_number,total_floors,bedroom_num,bathroom_num,balcony_num,feature_count,furnish_count,is_high_value
Shree Vardhman Flora3.8 ★,70.0,,0 to 1 Year Old,"['IRIS Broadway Mall', 'Dwarka Expressway', 'Saraswati Model School', 'SGT University', 'Aarvy Healthcare Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Orchid Business Park', 'Holiday Inn Gurugram Sector 90', 'Flying Wings Badminton Academy']","['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",flat,,1299.9682799999998,5384.0,13.0,,2.0,2.0,3.0,0,0,0
Sobha City,395.0,,undefined,"['Dwarka Sector 21', 'Dwarka Expressway', 'Vasant Kunj', 'The Shikshiyan School', 'The NorthCap University', 'Rions Hospital', 'IGI Airport', 'Gurgaon', 'WTC Plaza', 'Luxus Haritma Resort', 'Fun N Food WaterPark', 'BSF Golf Course', 'Nehru Stadium']","['Environment4 out of 5', 'Safety4.5 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4.5 out of 5']",flat,,2300.0,16859.0,25.0,,4.0,5.0,3.0,0,0,1
Senate Court,90.0,,undefined,"['Radhakrishna Shani Mandir', 'Sanatan Dharm Mandir', 'Standard chartered ATM', 'Icici bank ATM', 'State bank ATM', 'Vatsalya Clinic', 'Anand Hospital Gurgaon', 'pracksht hospital', 'Kriti Hospital', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Surgicare Hospital Gurgaon', 'Skin Clinic', 'Divine Look Clinic Centre', 'Dr. Naresh Pandita', 'Dr. Anuj Sharma', 'Vishesh Dental', 'Neelkanth Health Care', 'Park Hospital Gurgaon', 'Dr. Aruna Kalra', 'Wellness Eye Centre', 'Best Urologist Atcomplete Family Clinic', 'Wembley estate club', 'HUDA Office Complex', 'Medisca', 'Genius', 'Gardian Pharmacy', 'Apollo Pharmacy', 'SPAZE BUSINESS PARK', 'Unitech', 'Hdfc bank', 'Hdfc bank and atm', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', '222', 'Madison and Pike', 'Pizza Hut', 'India', 'Haldiram', 'Kamla International', 'Gurugram University', 'Amity Global School']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle5 out of 5', 'Connectivity4 out of 5']",flat,,639.05868,14084.0,1.0,,1.0,1.0,,0,0,0
Shapoorji Pallonji Joyville Gurugram4.0 ★,105.0,,Mar-24,"['Khan Market', 'The Esplanade Mall', 'Dwarka Expressway', 'Garhi Road', 'Delhi Public School', 'SGT University', 'Aryan Hospital', 'Indira Gandhi Int. Airport', 'Basai Dhankot', 'The Executive Centre', 'Inde Hotels & Resorts', 'Appu Ghar', 'DLF Golf and Country Club']","['Green Area4 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity4 out of 5']",flat,,915.04764,11475.0,14.0,,2.0,2.0,2.0,0,0,0
Central Park Flower Valley,220.00000000000003,North-East,0 to 1 Year Old,"['Airia Mall', 'NH 248A', 'NE 4, Haryana', 'GD Goenka Signature School', 'K. R. Mangalam University', 'Lady Florence Convent School Sohna', 'Vardaan Hospital & Trauma Centre', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Country Inn & Suites By Radisson', 'Tau Devilal Stadium Sohna']",,flat,,2100.0564,10476.0,13.0,,3.0,3.0,3.0,0,0,1
Smart World Gems,101.0,,Dec-25,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",flat,,1102.9870799999999,9156.0,4.0,,2.0,2.0,2.0,0,0,0
Bestech Altura,185.0,North,0 to 1 Year Old,"['Sapphire 83 Mall', 'NH -8', 'Golf Course Extension Road', 'Mount Olympus Junior School', 'Amity University Gurugram', 'Miracles Apollo Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'Savoy Suites, Manesar', 'Golden Greens Golf & Resorts']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle3 out of 5', 'Connectivity4 out of 5']",flat,,2150.0013599999997,8604.0,22.0,,3.0,4.0,3.0,0,0,1
Smart World Gems,86.0,,By 2023,"['Sant Soordas Sihi Metro Station', 'Airia Mall', 'Dwarka Expressway', 'Pataudi Road', 'NH-8', 'KMP Expressway', 'RPS International School', 'Genesis Hospital Sector 84', 'Gurgaon Railway Station', 'Vatika Business Park Sector 49', 'Holiday Inn Gurugram Sector 90', 'De Adventure Amusement Park', 'National Tennis Academy Sector 98', 'IMT Manesar']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",flat,,1102.9870799999999,7796.0,4.0,,2.0,3.0,3.0,0,0,0
Emaar Imperial Gardens3.8 ★,185.0,South-West,1 to 5 Year Old,"['Satya The Hive Mall', 'Gurugram Road', 'Dwarka Expy', 'Gurugram Global Heights School', 'Sunrise University', 'The Signature Super Speciality Hospital', 'Indira Gandhi Intl Airport', 'Basai Dhankot Railway Station', 'Country Inn & Suites by Radisson', 'Nehru Stadium']","['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4.5 out of 5', 'Construction4 out of 5', 'Connectivity3.5 out of 5']",flat,,2025.0313199999998,9135.0,14.0,,3.0,3.0,3.0,0,0,1
La Vida by Tata Housing,285.0,East,0 to 1 Year Old,"['Dwarka Sector 21', 'Pacific D21 Mall', 'Bajghera Road', 'Dwarka Expy', 'Euro International School, Sector- 109.', 'The NorthCap University', ""Rion's Hospital"", 'Indira Gandhi Intl Airport', 'Bijwasan Railway Station']",,flat,,2217.06108,12855.0,25.0,,3.0,3.0,3.0,0,0,1
The Serenas,42.0,,undefined,,,flat,,530.98812,7910.0,3.0,,2.0,2.0,1.0,0,0,0
M3M Golfestate4.4 ★,615.0,North-East,undefined,"['Sector 54 Chowk Metro Station', 'Sahara Mall', 'NH 248A', 'Shiksha Bharti Public School', 'Gurugram University', 'Park Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Holiday Inn Express Gurugram']","['Green Area5 out of 5', 'Amenities5 out of 5', 'Management5 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",flat,,2200.0,18331.0,20.0,,3.0,4.0,2.0,0,0,1
Central Park Resort Belgravia Residences,625.0,South-East,5 to 10 Year Old,"['Decathlon Sohna Road', 'Raheja Mall', 'Elements One Mall', 'GD Goenka Public School', 'Mount Olympus School', 'Basant Valley Global School', 'Lotus Valley School', 'Park Hospital (Gurugram, Haryana)', 'CK Birla Hospital', 'CDAS Super Speciality Hospital', 'Orchid Business Park', 'Candor TechSpace', 'JMD Megapolis', 'Splendor Trade Tower', 'DoubleTree by Hilton']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",flat,,2880.01584,24300.0,17.0,,3.0,5.0,3.0,0,0,1
Apex builders,42.0,North,1 to 5 Year Old,"['Kamla Hospital Gurgaon', 'Shri Multispeciality Hospital', 'Shri Balaji Hospital and Trauma Center', 'Yadav Hospital Gurgoan', 'Chandna Dental Surgery Orthodontic and Implant Centre', 'The Muskan Dental Clinic', 'Harshila Dental Clinic', 'Dental Xpert Dental Clinic', 'Gautam Hospital', 'Clove Dental', 'Esic Hospital Gurugram', 'Sai Dental Clinic', 'Sunrise Hospital Gurgaon', 'Bhanu Dental Care', 'Nutan Dental Hospital', 'Ankur Clinic and Maternity Home', 'Shri Ram Dental Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Navjeevan Hospital and Maternity Centre', 'Parmar Dental Clinic & Lab', 'Ayushman Hospital And Trauma Centre', 'Shiv Mahima Patient Care Bureau', 'Rachna Dental Clinic', 'Vaishnavi Nursing Home', 'Shri Gobind Hospital', 'Lal Superspeciality Hospital', 'Shree Krishna Hospital Gurgaon', 'Dr. Madan Clinic', 'Taneja Hospital', 'Dev Man Kathuria Clinic', 'Boxer Fuel Point', 'Basai dhankot railway station']","['Environment5 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",flat,,750.03552,5600.0,12.0,,2.0,2.0,2.0,0,0,0
Godrej Habitat,135.0,North-East,undefined,"['Chintapurni Mandir', 'Sheetla Mata Mandir', 'State bank ATM', 'Sneh Hospital Gurgaon', 'Jiya Clinic', 'Dr. Mittal Clinic', ""Dr. Anurag's Child Care Clinic"", 'Yashroop Medical Centre', 'Dr. Sindhu Clinic', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bhardwaj Hospital', 'Dr. Hitesh Dawar', 'R K Hospital Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Chirag Hospital Pvt. Ltd', 'Kr Dental Hub', 'Gurgaon Eye Centre', 'Shree Krishna Hospital Gurgaon', 'Dr. Ashok Jain', 'GH Gurgaon', 'Aryan Hospital', 'Dr. Agya Ram Sharma Clinic', 'Sparsh Hospital Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Pearl Dental Clinic', 'Bhatnagar Maternity and Nursing Home', 'Geeta Nursing Home Gurgaon', 'Ravi Clinic and Health Care Centre', 'Taneja Hospital', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kidney Clinic', 'Jeevan Jyoti Hospital Gurgaon', 'Jackson Hospital', 'Esic Hospital Gurugram', 'Dr. Tomar Clinic', 'Children Hospital', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Lieutenant Atul Kataria School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['Environment4.5 out of 5', 'Safety4.5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5']",flat,,912.0,12784.0,4.0,,2.0,2.0,,0,0,0
Ompee K S Residency,160.0,,1 to 5 Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'Ram Mandir', 'Kalyan Hospital Gurgaon', 'Metro Hospital and Heart Institute Gurgaon', 'DGD Bamnoli', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Axis bank', 'Big Cinemas', 'Cafe Coffee Day', 'Pizza Hut', ""Domino's Pizza"", 'Moti Mahal', 'Pind Baluchi', ""McDonald's"", 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'Palam vihar railway station']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",flat,,593.9575199999999,26936.0,4.0,,2.0,2.0,2.0,0,0,1
Bhawna CGHS,325.0,,5 to 10 Year Old,"['Sector 42-43 metro station', 'Sector 53-54 metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Rbs ATM', 'Hdfc bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Paras Hospital Gurgaon', 'Arihant Hospital', 'Gupta', 'Marwah Clinic', 'The Dental Lounge', 'Sitaram Bhartia', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Max Hospital', 'Guardian Pharmacy', 'Chikitsa', 'Bharat petroleum', 'Hdfc bank & atm', 'Icici bank', 'Hdfc bank', 'Axis bank', 'Sagar Ratna', 'Cafe Tonini', 'Shophouse by Kylin', ""Carl's Jr."", 'Starbucks', 'Clock tower', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'PWO house', 'Naveidyam', 'Blue Tokai Coffee Roasters', 'Starbucks', 'Nowhere Brewpub and cafe', 'Fat', 'Dighent cafe', 'Drunken Monkey', 'Stones2milestones', 'Ncr library', 'Bahrisons library']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",flat,,3000.0,10156.0,12.0,,4.0,4.0,3.0,0,0,1
Adani Aangan Arcade,45.0,,0 to 1 Year Old,"['Reliance Trends Newtown Square Mall', 'Pataudi Rd, Harsaru', 'Euro Intl School, Sector 37D, Gurugram', 'SGT University', 'Genesis Hospital', 'Indira Gandhi Intl Airport']",,flat,,625.49604,7194.0,12.0,,2.0,2.0,1.0,0,0,0
Sare Green Parc,85.0,,undefined,"['Huda city centre metro station', 'Iffco chowk metro station', 'Axis bank ATM', 'Punjab national bank ATM', 'Hdfc ATM', 'Axis bank ATM', 'Citi bank ATM', 'Icici ATM', 'Citi bank ATM', 'Icici bank ATM', 'Centre For Sight Gurgaon Sector 29', 'Sangwan Hospital Gurgaon', 'Shivam Hospital Gurgaon', 'Umkal Hospital', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Dr. Naval Mendiratta', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Community Center Sukhrali', 'Gardian Pharmacy', 'City Medical', 'Pizza Hut', ""Hops 'N' Brew"", 'Spaghetti Kitchen & Bar', ""Domino's Pizza"", ""McDonald's"", 'Tocpao', 'Zura', 'Beer & Whisky Bar', 'The Oriental Bloom Chinese and Thai', 'Gola Sizzles', 'Ardor 29', 'ADDA', 'Gung the palace Korean restaurant', 'Walking Street', 'MoB Ministory of Beer', 'Park Baluchi', 'Bikanervala', 'Dhabba', 'Black Mambaa', 'Gravity Space Bar', 'KFC', 'Swagath', 'distillery', 'Roots', 'Cafe Coffee Day', '32nd Milestone', 'Pizza Hut', 'Management Development Institute', 'Salvan Public School']","['Environment5 out of 5', 'Safety3 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5']",flat,,1299.9682799999998,6538.0,20.0,,3.0,2.0,2.0,0,0,0
Shree Vardhman Flora3.8 ★,75.0,North-East,undefined,"['IRIS Broadway Mall', 'Dwarka Expressway', 'Saraswati Model School', 'SGT University', 'Aarvy Healthcare Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Orchid Business Park', 'Holiday Inn Gurugram Sector 90', 'Flying Wings Badminton Academy']","['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction5 out of 5', 'Connectivity5 out of 5']",flat,,1299.9682799999998,5769.0,8.0,,2.0,2.0,3.0,0,0,0
Supertech Hues,82.0,,Under Construction,"['Sri Radhe Krishna Temple', 'Icici bank ATM', 'Kamal Hospital and Maternity Centre', 'Gobind Hospital', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sanjeevani Hospital Gurgaon', 'Sai Dharamraj Hospital', 'Sai Heart and Trauma Center', 'Ekta Hospital', 'Divine Look Clinic Centre', 'Skin Clinic', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'Icici bank', 'State bank of india', 'Union bank of india', 'Central bank of india', 'Indusind bank', 'Hdfc bank', 'SRS Cinemas', 'Starbucks', 'Nook', ""Nirula's"", ""Domino's Pizza"", 'India']","['Environment4 out of 5', 'Safety5 out of 5', 'Lifestyle4 out of 5', 'Connectivity3 out of 5']",flat,,1180.05732,6950.0,24.0,,2.0,2.0,3.0,0,0,0
Chintels Paradiso3.9 ★,180.0,East,5 to 10 Year Old,"['Gyaananda School', 'The NorthCap University', 'Park Hospital', 'IGI Airport', 'Gurgaon Station', 'WTC Plaza', 'Altrade Business Centre', 'Radisson Blu Hotel']","['Green Area5 out of 5', 'Amenities5 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity5 out of 5']",flat,,1785.0,8866.0,11.0,,3.0,3.0,2.0,0,0,1
Breez Global Hill View,29.99,North-East,0 to 1 Year Old,"['Huda City Centre', 'Omaxe City Centre', 'Ninex City Mart', 'Vaels Ravindra Bharathi Global School', 'Anjali nursery', 'Polaris Hospital', 'Axis Bank', 'Triangular Park', 'Flow Sports Life Badminton Club', 'Basai Dhankot Railway Station', 'Cars24', 'Radisson Hotel Gurugram', ""McDonald's"", 'Petrol Pump', 'Indian Post Office']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",flat,,555.0,5403.0,19.0,,2.0,2.0,2.0,0,0,0
ILD Greens4.1 ★,78.0,North,5 to 10 Year Old,"['The Esplanade Mall', 'Gurgaon Road', 'Delhi Jaipur Expressway', 'Green Field Public School', 'Sunrise University', 'K.D. Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'infinity Business Park']","['Green Area5 out of 5', 'Amenities4.5 out of 5', 'Management4.5 out of 5', 'Construction5 out of 5', 'Connectivity4.5 out of 5']",flat,,1068.1,5714.0,19.0,,2.0,2.0,3.0,0,0,0
Ansal Sushant Lok CI,200.0,North,10+ Year Old,"['Huda city centre metro station', 'Sector 42-43 metro station', 'Hanuman Mandir', 'New Life Church', 'Hdfc ATM', 'Standard chartered ATM', 'Hdfc bank ATM', 'Rbs ATM', 'Icici ATM', 'Citi bank ATM', 'Axis bank ATM', 'Hdfc ATM', 'Kotak mahindra bank ATM', 'Standard chartered ATM', 'Gupta', 'Arihant Hospital', 'Paras Hospital Gurgaon', 'Fortis Memorial Research Institute Fortis Vivekanand Hospital', 'Dr. Naval Mendiratta', 'Dr. Kutbuddin Akbary', 'Max Hospital', 'Pernod Ricard Charitable Dispensary', 'Guardian Pharmacy', 'Chikitsa', 'Gardian Pharmacy', 'City Medical', 'Bharat petroleum', 'Icici bank', 'Hdfc bank', 'Axis bank', 'PWO house', 'Balaji Vegetarian Paradise', 'The Chicken Boat', 'Naveidyam', 'Sagar Ratna', 'Cafe Tonini', 'Shophouse by Kylin', ""Carl's Jr."", 'Starbucks', 'CCD', 'Stones2milestones', 'School of Inspired Leadership SOIL', 'St. Angels Sr', 'St. Angels Jr', 'Ncr library', 'Bahrisons library']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",flat,,1319.98932,15151.0,3.0,,3.0,3.0,2.0,0,0,1
Ashiana Mulberry,74.0,North-West,0 to 1 Year Old,"['Discount Department Store', 'Badshahpur Sohna Rd Hwy, Sohna Rural', 'GD Goenka University, Gurugram', 'Sohna Public School Pathane Ware', 'Vardaan Hospital & Trauma Centre', 'Indira Gandhi Intl Airport']","['Environment4 out of 5', 'Safety4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5']",flat,,1209.9812399999998,6200.0,17.0,,2.0,2.0,3.0,0,0,0
Godrej Meridien,320.0,,Sep-25,"['Huda metro station', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Delhi Ajmer Expressway', 'Euro International School, Sector- 109', 'The NorthCap University', 'Metro Hospital, Palam Vihar', 'Gurgaon Railway Station', 'Infinity Business Park']",,flat,,2001.9963599999999,16000.0,24.0,,3.0,3.0,3.0,0,0,1
Mapsko Casa Bella3.8 ★,130.0,North,1 to 5 Year Old,"['Vatika City Centre Mall', 'Pataudi Road', 'Broadways International School', 'DPG Institute of Technology', 'Aarvy Healthcare', 'Indira Gandhi International Airport', 'Sultanpur National Park', 'Imt Manesar', 'Holiday Inn Gurugram', 'SkyJumper Trampoline Park', 'HUDA Mini Golf Course']","['Green Area4.5 out of 5', 'Amenities4 out of 5', 'Management4 out of 5', 'Construction4 out of 5', 'Connectivity4 out of 5']",flat,,1960.01676,6378.0,25.0,,4.0,4.0,3.0,0,0,0
